Disease,Description
Drug Reaction,Một phản ứng bất lợi (ADR) là một chấn thương do dùng thuốc.ADR có thể xảy ra sau một liều duy nhất hoặc sử dụng thuốc kéo dài hoặc là do sự kết hợp của hai hoặc nhiều thuốc.
Malaria,Một bệnh truyền nhiễm gây ra bởi ký sinh trùng động vật nguyên sinh từ họ Plasmodium có thể được truyền qua vết cắn của muỗi Anophele hoặc bởi một kim hoặc truyền máu bị ô nhiễm.Falciparum sốt rét là loại chết người nhất.
Allergy,"Dị ứng là một phản ứng của hệ thống miễn dịch đối với một chất nước ngoài thường không có hại cho cơ thể của bạn. Chúng có thể bao gồm một số thực phẩm, phấn hoa hoặc vật nuôi.Công việc của hệ thống miễn dịch của bạn là giữ cho bạn khỏe mạnh bằng cách chống lại các mầm bệnh có hại."
Hypothyroidism,"Suy giáp, còn được gọi là tuyến giáp hoạt động kém hoặc tuyến giáp thấp, là một rối loạn của hệ thống nội tiết trong đó tuyến giáp không tạo ra đủ hormone tuyến giáp."
Psoriasis,"Bệnh vẩy nến là một rối loạn da phổ biến, hình thành các mảng dày, đỏ, gập ghềnh phủ lên vảy bạc.Chúng có thể bật lên ở bất cứ đâu, nhưng hầu hết xuất hiện trên da đầu, khuỷu tay, đầu gối và lưng dưới.Bệnh vẩy nến không thể truyền từ người này sang người khác.Nó đôi khi xảy ra trong các thành viên trong cùng một gia đình."
GERD,"Bệnh trào ngược dạ dày thực quản, hay GERD, là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn (LES), vòng cơ giữa thực quản và dạ dày.Nhiều người, bao gồm cả phụ nữ mang thai, bị chứng ợ nóng hoặc khó tiêu axit do GERD gây ra."
Chronic cholestasis,"Các bệnh cholestatic mãn tính, cho dù xảy ra ở trẻ sơ sinh, thời thơ ấu hay tuổi trưởng thành, được đặc trưng bởi sự vận chuyển axit mật bị khiếm khuyết từ gan đến ruột, gây ra bởi tổn thương chính cho biểu mô mật trong hầu hết"
hepatitis A,Viêm gan A là nhiễm trùng gan rất truyền nhiễm do virus viêm gan A gây ra.Virus là một trong một số loại virus viêm gan gây viêm và ảnh hưởng đến khả năng hoạt động của gan.
Osteoarthristis,"Viêm xương khớp là dạng viêm khớp phổ biến nhất, ảnh hưởng đến hàng triệu người trên toàn thế giới.Nó xảy ra khi sụn bảo vệ đệm các đầu xương của bạn bị hao mòn theo thời gian."
(vertigo) Paroymsal  Positional Vertigo,Vertigo vị trí paroxysmal lành tính (BPPV) là một trong những nguyên nhân phổ biến nhất của chứng chóng mặt - cảm giác đột ngột mà bạn đang quay hoặc bên trong đầu bạn đang quay.Benign paroxysmal Vertigo vị trí gây ra các giai đoạn ngắn của chóng mặt từ nhẹ đến dữ dội.
